200,88,87
195,83,87
195,90,85
190,82,85
190,81,81
185,89,84
185,81,73
180,86,81
180,80,80
175,82,77
175,88,81
170,79,80
170,83,78
165,86,82
165,87,80
160,85,80
160,72,78
155,80,75
155,80,74
150,81,77
150,80,74
145,65,80
145,74,69
140,74,69
140,74,69
135,72,68
135,73,69
130,71,66
130,71,66
125,69,64
125,52,62
120,62,58
120,65,60
115,65,60
115,61,58
110,53,61
110,49,58
105,55,51
105,54,51
100,53,49
100,51,48
105,49,46
105,49,46
110,50,47
110,52,48
115,52,50
115,56,51
120,57,54
120,53,56
125,51,57
125,61,57
130,64,60
130,66,62
135,68,64
135,70,66
140,70,68
140,59,76
145,73,68
145,76,72
150,77,72
150,78,73
155,79,74
155,82,77
160,82,76
160,83,79
165,83,79
165,76,80
170,68,72
170,82,76
175,88,83
175,89,85
180,91,86
180,92,86
185,92,88
185,93,88
190,85,88
190,78,90
195,94,88
195,96,90
