180,86,82
175,86,83
170,84,82
165,84,81
165,84,80
160,82,79
155,80,78
150,78,75
150,64,70
145,72,70
140,73,70
145,73,70
145,72,70
150,74,70
155,75,72
160,77,74
160,80,77
165,80,78
170,83,79
175,85,82
175,86,84
180,86,82
175,88,85
170,87,84
170,85,83
165,86,81
160,81,81
155,71,76
155,78,76
150,82,78
145,79,75
140,78,74
140,75,71
145,74,72
150,74,71
155,77,73
155,79,76
160,80,77
165,82,78
170,83,80
170,74,74
175,82,79
180,88,84
175,90,86
175,90,87
170,90,87
165,89,85
160,82,83
160,85,80
155,83,80
150,83,78
145,81,77
145,76,74
140,63,67
145,71,68
150,78,73
150,79,75
155,73,79
160,80,77
165,83,78
165,85,82
170,86,82
175,86,82
